日期,开盘,收盘,最高,最低,成交量,年月
2015-01-05,3258.63,3350.52,3369.28,3253.88,531352896,2015-01
2015-01-06,3330.8,3351.45,3394.22,3303.18,501516416,2015-01
2015-01-07,3351.45,3373.95,3381.57,3321.31,455400992,2015-01
2015-01-08,3371.96,3293.46,3374.9,3285.09,424059520,2015-01
2015-01-09,3285.63,3285.41,3337.08,3267.51,364041504,2015-01
2015-01-12,3258.21,3229.32,3268.48,3191.58,366228704,2015-01
2015-01-13,3218.74,3235.3,3259.39,3174.66,353583584,2015-01
2015-01-14,3222.34,3222.44,3269.82,3193.98,343642208,2015-01
2015-01-15,3228.85,3336.46,3337.08,3222.44,410264096,2015-01
2015-01-16,3343.6,3376.5,3400.32,3340.49,441364704,2015-01
2015-01-19,3376.5,3116.35,3406.79,3095.07,401428704,2015-01
2015-01-20,3115.89,3117.89,3190.25,3095.5,356168288,2015-01
2015-01-21,3114.56,3173.05,3189.87,3109.16,324616992,2015-01
2015-01-22,3172.05,3213.31,3235.25,3157.26,309715296,2015-01
2015-01-23,3213.31,3351.76,3352.38,3207.54,373462304,2015-01
2015-01-26,3380.77,3383.18,3406.79,3352.38,365640992,2015-01
2015-01-27,3383.18,3382.56,3400.32,3352.38,328294496,2015-01
2015-01-28,3382.56,3352.96,3394.22,3327.32,301070592,2015-01
2015-01-29,3352.96,3285.41,3352.96,3267.51,293288992,2015-01
2015-01-30,3285.41,3210.36,3285.41,3210.36,276745408,2015-01
2015-02-02,3206.14,3128.3,3206.14,3123.03,266506496,2015-02
2015-02-03,3128.3,3173.18,3178.34,3095.07,266506496,2015-02
2015-02-04,3173.18,3174.13,3206.14,3152.93,253947296,2015-02
2015-02-05,3174.13,3136.53,3195.68,3131.37,245096000,2015-02
2015-02-06,3136.53,3075.91,3141.69,3052.94,248430304,2015-02
2015-02-09,3075.91,3095.12,3110.49,3052.94,220136000,2015-02
2015-02-10,3095.12,3141.59,3146.75,3095.12,227550400,2015-02
2015-02-11,3141.59,3157.7,3173.18,3136.53,215364496,2015-02
2015-02-12,3157.7,3173.18,3178.34,3146.75,205072000,2015-02
2015-02-13,3173.18,3203.83,3208.99,3173.18,214919296,2015-02
2015-02-16,3203.83,3222.36,3227.52,3198.91,197650000,2015-02
2015-02-17,3222.36,3246.51,3251.67,3222.36,186364000,2015-02
2015-02-25,3251.67,3228.84,3256.83,3217.2,221847296,2015-02
2015-02-26,3228.84,3298.36,3303.52,3228.84,261066304,2015-02
2015-02-27,3298.36,3310.3,3331.43,3283.11,274200992,2015-02
2015-03-02,3310.3,3336.28,3352.38,3305.14,286335680,2015-03
