年月,开盘,收盘,最高,最低,成交量,涨跌幅
2015-01,3258.63,3210.36,3406.79,3095.07,7521886688,-1.48
2015-02,3206.14,3310.3,3331.43,3052.94,3504657376,3.25
2015-03,3310.3,3747.9,3814.26,3241.27,7003781360,13.22
2015-04,3747.9,4441.66,4537.34,3747.9,9662659616,18.51
2015-05,4441.66,4611.74,4986.5,4112.21,10308009312,3.83
2015-06,4611.74,4277.22,5178.19,4053.7,12613668384,-7.25
2015-07,4277.22,3663.72,4277.22,3507.19,12338880832,-14.34
2015-08,3663.72,3205.99,3998.64,2850.71,10564656256,-12.49
2015-09,3205.99,3052.78,3261.71,3005.17,8994539968,-4.78
2015-10,3052.78,3382.56,3452.91,3052.78,7554729472,10.8
2015-11,3382.56,3445.4,3655.22,3325.08,9211782784,1.86
2015-12,3445.4,3539.18,3651.06,3434.58,9225958720,2.72
