日期,代码,开盘,最高,最低,收盘,成交量,成交额,换手率,涨跌幅
2023-01-03,sh.000001,3087.513,3119.8556,3073.054,3116.5119,28137036200,331392138948.0,0.679096,0.882218
2023-01-04,sh.000001,3117.5711,3129.0937,3109.4512,3123.5164,27331362600,316391228728.0,0.659633,0.224754
2023-01-05,sh.000001,3132.7614,3159.427,3130.23,3155.2162,25700301800,335635934527.5,0.620143,1.014875
2023-01-06,sh.000001,3155.0747,3170.7418,3151.8407,3157.6365,25738025500,338539843686.6,0.621013,0.076708
2023-01-09,sh.000001,3169.3737,3183.583,3165.4282,3176.0845,25811521800,342693770974.1,0.622661,0.584234
2023-01-10,sh.000001,3178.022,3178.1569,3165.1446,3169.5072,23298417500,310357698608.4,0.562036,-0.207088
2023-01-11,sh.000001,3172.3759,3184.757,3160.8896,3161.8376,23774286900,309248892854.4,0.573515,-0.241981
2023-01-12,sh.000001,3167.273,3171.5905,3153.4038,3163.4509,21667130500,275371843343.4,0.522007,0.051024
2023-01-13,sh.000001,3170.3548,3195.3067,3167.5098,3195.3059,22022689700,288062499132.3,0.530552,1.00697
2023-01-16,sh.000001,3198.5189,3251.3739,3197.3186,3227.5916,30674954900,413219640959.9,0.734966,1.01041
2023-01-17,sh.000001,3229.4354,3231.2645,3211.7573,3224.2448,22659223000,302611778528.6,0.542882,-0.103693
2023-01-18,sh.000001,3227.5947,3234.8169,3220.3703,3224.406,21210973000,266068176682.4,0.508156,0.005
2023-01-19,sh.000001,3221.5179,3240.2794,3210.3825,3240.2794,22646503000,296815557255.9,0.542519,0.492289
2023-01-20,sh.000001,3247.2031,3267.0579,3247.2031,3264.8138,27321918200,329028168424.9,0.654522,0.757169
2023-01-30,sh.000001,3308.8694,3310.4903,3266.758,3269.318,35332582900,453177014110.3,0.844411,0.137962
2023-01-31,sh.000001,3266.1442,3277.2524,3252.0145,3255.6692,30016295700,375260749568.7,0.717357,-0.417482
2023-02-01,sh.000001,3262.1961,3284.9224,3245.4113,3284.9213,33950941000,413395187748.5,0.811384,0.898497
2023-02-02,sh.000001,3291.7828,3295.7636,3272.414,3285.6705,33341313300,428662803430.2,0.796791,0.022807
2023-02-03,sh.000001,3275.6578,3275.6578,3235.3533,3263.4059,29334281400,378648522965.3,0.70103,-0.677627
2023-02-06,sh.000001,3244.7007,3250.3514,3226.2112,3238.6978,26705310700,349127264894.7,0.638096,-0.757126
2023-02-07,sh.000001,3245.2297,3250.033,3233.8334,3248.094,25094645000,321257641942.9,0.599609,0.290123
2023-02-08,sh.000001,3251.5006,3257.114,3230.4393,3232.1063,23453048100,293332736125.8,0.560355,-0.492218
2023-02-09,sh.000001,3227.7278,3270.3826,3225.7724,3270.3826,25475452900,351760831733.2,0.608653,1.184253
2023-02-10,sh.000001,3266.4367,3269.9944,3247.2296,3260.6734,26062692600,341749872023.9,0.62267,-0.296883
2023-02-13,sh.000001,3256.9881,3285.0913,3252.6327,3284.1599,29721318800,397011413405.7,0.709971,0.720296
2023-02-14,sh.000001,3288.9742,3293.7338,3279.1894,3293.2825,27097416800,355558052442.5,0.647285,0.277776
2023-02-15,sh.000001,3294.015,3296.1995,3274.5505,3280.4919,26993912300,357621816130.5,0.644805,-0.388385
2023-02-16,sh.000001,3281.7352,3308.8279,3231.3421,3249.0295,38086354500,468382512227.4,0.909667,-0.959076
2023-02-17,sh.000001,3244.7325,3262.4729,3223.2581,3224.0243,27845123700,355625842543.0,0.0,-0.769621
2023-02-20,sh.000001,3230.4728,3291.0388,3225.8427,3290.3383,32500773300,397720315305.1,0.776111,2.05687
2023-02-21,sh.000001,3291.6312,3308.7908,3282.436,3306.5236,32440944900,390691271556.0,0.774603,0.491904
