年月,开盘,收盘,最高,最低,成交量,涨跌幅
2023-01,3087.513,3255.6692,3310.4903,3073.054,413343223200,5.45
2023-02,3262.1961,3279.6053,3308.8279,3223.2581,562745026400,0.53
2023-03,3279.1364,3272.8602,3342.8585,3216.9927,724715520600,-0.19
2023-04,3277.34,3323.2746,3396.1745,3229.4461,671560609300,1.4
2023-05,3306.4827,3204.5644,3418.9534,3168.5716,705061427300,-3.08
2023-06,3196.1547,3202.0623,3276.5522,3144.2484,590465837800,0.18
2023-07,3209.1623,3291.0398,3322.1291,3151.1252,588947228500,2.55
2023-08,3288.7604,3119.8764,3315.0492,3053.0373,771651533000,-5.14
2023-09,3126.0234,3110.4753,3177.0603,3078.8007,526138945700,-0.5
2023-10,3099.9998,3018.7706,3109.9898,2923.5113,488864707300,-2.62
2023-11,3038.1821,3029.6727,3089.7738,3009.121,649431931500,-0.28
2023-12,3027.353,2974.9348,3038.9794,2882.0195,605856445100,-1.73
