年月,开盘,收盘,最高,最低,成交量,涨跌幅
2019-01,2497.88,2584.572,2630.318,2440.906,338564071424,3.47
2019-02,2597.777,2940.953,2997.488,2590.554,442180830464,13.21
2019-03,2954.402,3090.758,3129.939,2930.834,869192543488,4.62
2019-04,3111.661,3078.338,3288.453,3050.026,748713308672,-1.07
2019-05,2984.727,2898.696,2986.539,2833.036,446512659712,-2.88
2019-06,2901.742,2978.878,3012.826,2822.185,397467750144,2.66
2019-07,3024.623,2932.505,3048.483,2879.69,371851528448,-3.05
2019-08,2920.85,2886.236,2927.342,2733.924,369448176128,-1.19
2019-09,2886.941,2905.189,3042.928,2883.682,394691555072,0.63
2019-10,2905.755,2929.056,3026.383,2891.539,263518111488,0.8
2019-11,2924.34,2871.981,3008.314,2858.58,304496169728,-1.79
2019-12,2874.448,3050.124,3051.677,2857.32,412769490944,6.11
