年月,开盘,收盘,最高,最低,成交量,涨跌幅
2025-01,3347.9392,3250.6007,3351.722,3140.9775,763711682700,-2.91
2025-02,3270.1604,3320.8973,3388.7808,3220.2794,973230402000,1.55
2025-03,3328.3955,3335.7462,3439.0463,3297.5304,1003498886700,0.22
2025-04,3340.7121,3279.0314,3361.134,3040.6932,952105116900,-1.85
2025-05,3295.2504,3347.4873,3417.3142,3286.9886,776931756800,1.59
2025-06,3340.0666,3444.4256,3462.752,3340.0666,859510280500,3.12
2025-07,3445.8457,3573.2082,3636.1664,3441.0379,1322882053600,3.7
2025-08,3568.2608,3857.9274,3888.5985,3547.1629,1361833778600,8.12
2025-09,3869.7457,3882.7774,3899.9594,3732.8404,1433664951100,0.34
2025-10,3898.307,3954.79,4025.7048,3800.1055,1080931755600,1.45
2025-11,3954.0783,3888.5962,4034.0786,3816.5757,1135173964700,-1.66
2025-12,3894.2132,3968.8401,3983.9787,3815.8444,1171757241200,1.92
