年月,开盘,收盘,最高,最低,成交量,涨跌幅
2020-01,3066.335,2976.528,3127.169,2955.346,387340424192,-2.93
2020-02,2716.697,2880.303,3058.898,2685.269,653701708800,6.02
2020-03,2899.31,2750.2962,3074.257,2646.8048,698947474060,-5.14
2020-04,2743.5409,2860.0822,2865.59,2719.9043,471037919700,4.25
2020-05,2831.6326,2852.3512,2914.2838,2802.4653,370370726100,0.73
2020-06,2871.9641,2984.6741,2990.8253,2871.9641,469981968500,3.92
2020-07,2991.1813,3310.0065,3458.7914,2984.9841,1024499525500,10.66
2020-08,3332.1826,3395.6775,3456.7206,3263.2653,735912569800,1.91
2020-09,3389.7424,3218.0521,3425.6294,3202.3435,490622905000,-5.06
2020-10,3262.6105,3224.5325,3371.0862,3219.4216,303696134800,-1.17
2020-11,3228.715,3391.7551,3456.7365,3209.9094,568057672500,5.05
2020-12,3388.9867,3473.0693,3474.9182,3325.172,644514554300,2.48
