年月,开盘,收盘,最高,最低,成交量,涨跌幅
2024-01,2972.775,2788.5482,2976.2682,2724.1573,692521105900,-6.2
2024-02,2773.4239,3015.1712,3031.4881,2635.0897,656256974100,8.72
2024-03,3013.8229,3041.1669,3090.0513,2984.1201,772070297200,0.91
2024-04,3049.0207,3104.8245,3123.2876,2995.542,764786214900,1.83
2024-05,3132.5115,3086.8134,3174.2658,3085.3841,699695866900,-1.46
2024-06,3085.9814,2967.4028,3097.2043,2933.3304,570135119100,-3.84
2024-07,2965.2452,2938.7493,3004.987,2865.1493,663558797300,-0.89
2024-08,2940.12,2842.2142,2947.8768,2815.3829,596594223200,-3.33
2024-09,2832.3499,3336.4974,3358.5883,2689.6952,694997327400,17.8
2024-10,3674.4048,3279.8244,3674.4048,3152.8213,1254206040800,-10.74
2024-11,3275.5768,3326.4557,3509.8182,3227.3553,1443980932700,1.55
2024-12,3328.482,3351.763,3494.8669,3323.0091,1293592128600,0.7
