日期,代码,开盘,最高,最低,收盘,成交量,成交额,换手率,涨跌幅
2024-01-02,sh.000001,2972.775,2976.2682,2962.2762,2962.2762,30414179300,345950729194.6,0.684718,-0.425508
2024-01-03,sh.000001,2957.1117,2971.2834,2953.2901,2967.2472,28545594500,321018391310.1,0.642574,0.16781
2024-01-04,sh.000001,2965.5087,2966.6828,2936.6347,2954.3486,26498092400,296291346878.8,0.596455,-0.434699
2024-01-05,sh.000001,2949.8221,2967.9677,2916.7206,2929.1833,30104023900,325917001164.6,0.677616,-0.851805
2024-01-08,sh.000001,2923.457,2924.4559,2887.5379,2887.5379,27027505500,290730589588.8,0.607948,-1.421741
2024-01-09,sh.000001,2887.1095,2900.7266,2878.4123,2893.2513,26295597500,294446373682.5,0.591475,0.197864
2024-01-10,sh.000001,2886.9807,2903.1621,2870.4155,2877.7023,24404652600,281192192419.3,0.548896,-0.537423
2024-01-11,sh.000001,2873.7982,2896.1788,2867.7223,2886.6502,26705076400,298552532937.0,0.600645,0.310939
2024-01-12,sh.000001,2880.0399,2904.1743,2878.8752,2881.9769,26160293100,282877466332.8,0.588355,-0.161894
2024-01-15,sh.000001,2872.5562,2904.4643,2869.2236,2886.2908,24461123600,269229737081.5,0.550021,0.149685
2024-01-16,sh.000001,2881.5602,2896.683,2861.1302,2893.9886,28628671400,300837919168.5,0.643729,0.266702
2024-01-17,sh.000001,2887.2917,2887.4893,2833.6152,2833.6152,26125130800,283073939817.7,0.587435,-2.086166
2024-01-18,sh.000001,2822.6672,2849.2559,2760.978,2845.7839,39039685500,400709904734.2,0.877554,0.429441
2024-01-19,sh.000001,2836.9749,2849.8755,2822.8434,2832.2793,26666438800,296717043828.4,0.599365,-0.474548
2024-01-22,sh.000001,2826.5034,2828.3202,2735.3721,2756.3399,35016575800,359918989570.1,0.786967,-2.681212
2024-01-23,sh.000001,2746.8923,2784.8407,2724.1573,2770.9763,30874941700,312191330216.9,0.693872,0.531009
2024-01-24,sh.000001,2782.1415,2823.6953,2743.3971,2820.7719,36907060000,357316181644.3,0.829425,1.797042
2024-01-25,sh.000001,2823.8259,2906.794,2821.7093,2906.1087,44200904500,437679811285.5,0.993342,3.0253
2024-01-26,sh.000001,2897.9149,2924.3065,2890.4819,2910.2227,42110908400,402400231262.6,0.946367,0.141564
2024-01-29,sh.000001,2910.6072,2923.8992,2883.3327,2883.356,41058131100,397014731369.9,0.922598,-0.923184
2024-01-30,sh.000001,2866.2795,2881.3468,2829.2498,2830.5266,33566122600,329254005891.9,0.754184,-1.832219
2024-01-31,sh.000001,2815.5042,2834.011,2782.5869,2788.5482,37710396500,355636999833.5,0.847109,-1.48306
2024-02-01,sh.000001,2773.4239,2805.0146,2752.7824,2770.7403,35288918500,337547960520.8,0.792542,-0.638608
2024-02-02,sh.000001,2773.2949,2791.6756,2666.3335,2730.152,42623019900,392661142297.9,0.957003,-1.46489
2024-02-05,sh.000001,2716.081,2739.7383,2635.0897,2702.185,47899029200,424877418268.6,1.075064,-1.024375
2024-02-06,sh.000001,2680.4846,2802.9312,2669.6732,2789.486,50284931300,441215054098.9,1.128619,3.230756
2024-02-07,sh.000001,2791.5145,2829.6956,2770.5293,2829.6956,54711743900,495919878083.4,1.227954,1.44147
2024-02-08,sh.000001,2832.4855,2867.4738,2827.902,2865.9032,53110889300,482939732024.6,1.191928,1.279558
2024-02-19,sh.000001,2886.5871,2910.544,2867.7103,2910.544,45896770400,442148454574.5,1.029805,1.557652
2024-02-20,sh.000001,2902.8765,2927.308,2887.4741,2922.7302,35013873500,357057491972.6,0.785542,0.418691
2024-02-21,sh.000001,2906.0243,2994.6149,2898.0496,2950.9556,44424546300,450922050718.1,0.996675,0.96572
2024-02-22,sh.000001,2945.4465,2988.3578,2944.4988,2988.3578,35413253600,365264217873.3,0.794506,1.267461
2024-02-23,sh.000001,2992.9115,3009.1359,2979.9728,3004.881,38008327000,398232220674.3,0.852647,0.552919
2024-02-26,sh.000001,3002.1179,3009.479,2967.0571,2977.0221,40902655800,427564895756.7,0.917292,-0.927122
2024-02-27,sh.000001,2966.4166,3015.4807,2961.1479,3015.4807,37298468700,412614978516.7,0.836255,1.291848
2024-02-28,sh.000001,3016.2555,3031.4881,2957.8524,2957.8524,54410909300,576555221675.0,1.219927,-1.911082
2024-02-29,sh.000001,2943.6242,3015.1712,2943.6242,3015.1712,40969637400,452808746134.9,0.918554,1.937852
2024-03-01,sh.000001,3013.8229,3032.2315,3003.7632,3027.0204,37913218400,442984248197.1,0.849761,0.392986
2024-03-04,sh.000001,3026.6071,3040.3447,3007.6829,3039.3055,38776000200,461727516644.8,0.868981,0.405848
2024-03-05,sh.000001,3027.1028,3052.5413,3022.1777,3047.7931,38350995500,458900476785.5,0.859438,0.279261
2024-03-06,sh.000001,3041.7518,3060.5629,3034.3536,3039.9309,34098273900,401334635599.7,0.764135,-0.257964
2024-03-07,sh.000001,3040.2111,3063.6924,3023.1177,3027.4013,37715439100,423391257039.7,0.845209,-0.412167
2024-03-08,sh.000001,3026.1654,3049.194,3016.9032,3046.0192,31920439200,370647474769.4,0.715298,0.61498
2024-03-11,sh.000001,3042.6188,3068.4554,3035.4451,3068.4554,36160882100,427851361287.9,0.810136,0.736574
2024-03-12,sh.000001,3068.182,3075.1308,3044.8572,3055.935,41574391400,494558502794.2,0.802445,-0.408036
2024-03-13,sh.000001,3053.3413,3061.951,3031.8985,3043.8346,36504745300,442453946274.1,0.817799,-0.395964
2024-03-14,sh.000001,3042.4131,3059.9975,3020.637,3038.2339,36407229000,436338838339.8,0.815615,-0.184001
2024-03-15,sh.000001,3031.5229,3056.4473,3023.2152,3054.6359,36026846300,405917703990.6,0.807084,0.539853
2024-03-18,sh.000001,3057.2093,3085.3124,3055.9221,3084.9262,40665350800,485520636502.6,0.910965,0.991617
2024-03-19,sh.000001,3077.9805,3090.0459,3062.6279,3062.7558,38412368000,446930657774.1,0.860488,-0.718669
2024-03-20,sh.000001,3058.6478,3081.7547,3056.645,3079.6859,34918772900,407432569665.8,0.782232,0.552773
2024-03-21,sh.000001,3084.4116,3090.0513,3069.272,3077.113,36687796800,437634616255.6,0.821663,-0.083544
2024-03-22,sh.000001,3070.5481,3073.2058,3027.7615,3048.0336,39474048600,456762466559.5,0.883999,-0.945022
2024-03-25,sh.000001,3040.501,3065.2611,3026.3055,3026.3055,38748538900,443472341342.3,0.86766,-0.712856
2024-03-26,sh.000001,3026.9218,3036.4939,3006.2597,3031.4809,34592878700,396410716143.3,0.774532,0.171014
2024-03-27,sh.000001,3026.8138,3030.4495,2993.1388,2993.1388,34319801000,376242896147.0,0.768394,-1.264798
2024-03-28,sh.000001,2988.5899,3033.3666,2984.1201,3010.6636,35320002600,392929088720.4,0.790787,0.585499
2024-03-29,sh.000001,3008.3757,3041.2978,3008.1672,3041.1669,33482278500,364571210090.1,0.749233,1.013175
2024-04-01,sh.000001,3049.0207,3078.4883,3049.0207,3077.3786,37539364000,420902006773.4,0.839916,1.190717
2024-04-02,sh.000001,3076.8752,3085.5365,3063.9808,3074.9586,36730426200,396705813294.9,0.820771,-0.078638
2024-04-03,sh.000001,3074.8929,3079.02,3057.3972,3069.2959,36321138000,392704394040.9,0.81163,-0.184155
2024-04-08,sh.000001,3057.3255,3077.3512,3045.4692,3047.0526,40293674000,421808399733.1,0.90023,-0.724704
2024-04-09,sh.000001,3044.6136,3051.5851,3033.2089,3048.5369,33348996500,347834663475.6,0.74504,0.048713
2024-04-10,sh.000001,3045.9609,3049.6072,3013.5897,3027.3349,34899172100,364717833491.0,0.779499,-0.695481
2024-04-11,sh.000001,3013.5727,3050.3372,3009.8972,3034.2464,34089439200,364147836454.7,0.761339,0.228303
2024-04-12,sh.000001,3035.5773,3043.5599,3014.8297,3019.4735,33422977100,363119193013.8,0.746364,-0.486872
2024-04-15,sh.000001,3013.6722,3066.9412,2995.542,3057.3776,46123924400,459849043272.3,1.02959,1.255321
2024-04-16,sh.000001,3043.5505,3052.4346,3005.34,3007.0681,44807047300,435170805476.3,1.000181,-1.645511
2024-04-17,sh.000001,3008.0614,3071.3806,3002.0564,3071.3806,41335836800,416254660835.0,0.922662,2.138711
2024-04-18,sh.000001,3060.0309,3102.5527,3057.7606,3074.2246,41632134900,441432075756.2,0.92921,0.092597
2024-04-19,sh.000001,3060.2989,3080.3227,3055.0577,3065.261,37554385500,396614941121.2,0.838145,-0.291573
2024-04-22,sh.000001,3059.0649,3078.4226,3042.542,3044.5952,35721639900,382192259189.5,0.796794,-0.674194
2024-04-23,sh.000001,3038.6118,3044.9438,3016.5169,3021.9775,32559512800,348651765384.9,0.726246,-0.74288
2024-04-24,sh.000001,3029.4028,3045.6398,3019.1239,3044.8223,30526409300,335157362713.4,0.680882,0.755955
2024-04-25,sh.000001,3037.9273,3060.2635,3034.6499,3052.9,29228014800,315797661218.8,0.651922,0.265293
2024-04-26,sh.000001,3054.9793,3092.43,3054.9793,3088.6357,43938256300,484160092982.4,0.980025,1.170549
2024-04-29,sh.000001,3086.6819,3119.6857,3080.5858,3113.0432,50692544500,554918811231.8,1.130581,0.790236
2024-04-30,sh.000001,3110.1594,3123.2876,3104.2943,3104.8245,44021321300,473803228530.9,0.981696,-0.264009
2024-05-06,sh.000001,3132.5115,3142.3816,3126.7689,3140.7204,45065689900,511256135580.5,1.004537,1.156133
2024-05-07,sh.000001,3139.6637,3151.219,3133.6904,3147.738,37910256400,426951665906.2,0.844881,0.223439
2024-05-08,sh.000001,3141.4874,3144.9856,3126.1729,3128.4798,33400032000,367220116482.8,0.744295,-0.611811
2024-05-09,sh.000001,3128.1644,3158.4646,3128.1644,3154.3201,36088146200,398979066896.2,0.804194,0.82597
2024-05-10,sh.000001,3158.5891,3163.1441,3137.1517,3154.5472,38428749500,406707822844.8,0.856353,0.0072
2024-05-13,sh.000001,3139.4753,3157.3656,3126.1697,3148.0207,39703056500,425963088194.6,0.88551,-0.206892
2024-05-14,sh.000001,3148.8488,3155.8071,3137.6091,3145.7743,34352619400,370069674870.9,0.766155,-0.071359
2024-05-15,sh.000001,3141.2518,3142.9725,3117.9287,3119.9021,32102796200,333005622198.2,0.715978,-0.822443
2024-05-16,sh.000001,3127.1841,3137.8779,3116.1627,3122.401,36741736100,377502921477.7,0.819384,0.080095
2024-05-17,sh.000001,3121.7126,3154.0263,3116.7842,3154.0263,38391524400,389572549317.9,0.856097,1.012852
2024-05-20,sh.000001,3156.1482,3174.2658,3155.9903,3171.1451,42686728000,448816915042.8,0.95134,0.54276
2024-05-21,sh.000001,3164.6826,3165.2237,3148.342,3157.9657,33578357200,346584200831.4,0.748284,-0.415604
2024-05-22,sh.000001,3157.1889,3166.9191,3152.457,3158.5399,35409808200,364137830725.3,0.789049,0.018183
2024-05-23,sh.000001,3149.8752,3150.6282,3110.2773,3116.387,35394372700,356689462882.1,0.788672,-1.334569
2024-05-24,sh.000001,3110.7533,3130.4245,3087.7941,3088.8705,30653227900,322748606369.1,0.682996,-0.882962
2024-05-27,sh.000001,3094.14,3125.5064,3091.9893,3124.0427,31939676500,345383767844.9,0.711128,1.138675
2024-05-28,sh.000001,3122.3877,3130.3103,3106.3645,3109.5721,31006697400,320985406528.1,0.690329,-0.463201
2024-05-29,sh.000001,3108.0267,3128.1365,3100.9797,3111.0176,28997034600,297512177291.8,0.64548,0.046485
2024-05-30,sh.000001,3103.7078,3121.218,3085.3841,3091.6778,30238076200,318475183004.8,0.673094,-0.621655
2024-05-31,sh.000001,3094.7587,3107.6035,3086.8134,3086.8134,27607281600,301121881320.1,0.6144,-0.157339
2024-06-03,sh.000001,3085.9814,3097.2043,3061.2766,3078.4887,35756336200,367608352547.0,0.795545,-0.269686
2024-06-04,sh.000001,3071.3196,3095.3221,3063.5879,3091.1992,30928759800,325589691920.4,0.688089,0.412881
2024-06-05,sh.000001,3086.0509,3092.3459,3064.7359,3065.4034,29054234400,299722764399.5,0.646296,-0.834492
2024-06-06,sh.000001,3069.4393,3077.6725,3040.8295,3048.7939,36986710400,371317019032.4,0.822583,-0.541837
2024-06-07,sh.000001,3053.9153,3065.0247,3031.0443,3051.2787,31634248400,318911097485.6,0.70311,0.081501
2024-06-11,sh.000001,3042.1338,3043.1997,3013.8611,3028.0451,31048194200,332683377772.5,0.687489,-0.761438
