年月,开盘,收盘,最高,最低,成交量,涨跌幅
2018-01,3314.03,3480.833,3587.032,3314.03,479777123584,5.03
2018-02,3478.67,3259.408,3495.093,3062.742,288895945216,-6.3
2018-03,3235.088,3168.896,3333.875,3091.457,370408412672,-2.05
2018-04,3169.778,3082.231,3220.845,3041.625,269898545152,-2.76
2018-05,3087.408,3095.473,3219.739,3041.0,297928909568,0.26
2018-06,3084.753,2847.418,3128.715,2782.381,262397937664,-7.69
2018-07,2841.579,2876.4,2915.297,2691.02,304909513216,1.23
2018-08,2882.506,2725.249,2897.399,2653.111,282138901504,-5.46
2018-09,2716.403,2821.35,2827.341,2644.296,214835894528,3.86
2018-10,2768.207,2602.783,2771.938,2449.197,274042885120,-5.98
2018-11,2617.032,2588.187,2703.511,2555.322,405282329600,-1.1
2018-12,2647.131,2493.896,2666.078,2462.844,257511940096,-5.79
