日期,代码,开盘,最高,最低,收盘,成交量,成交额,换手率,涨跌幅
2018-01-02,sh.000001,3314.03,3349.053,3314.03,3348.325,20227886080,227788460032.0,0.006482,1.2444
2018-01-03,sh.000001,3347.742,3379.915,3345.288,3369.108,21383614976,258366521344.0,0.00685,0.6207
2018-01-04,sh.000001,3371.0,3392.826,3365.295,3385.71,20695528704,243090767872.0,0.006629,0.4928
2018-01-05,sh.000001,3386.464,3402.069,3380.245,3391.75,21306068224,248187842560.0,0.006824,0.1784
2018-01-08,sh.000001,3391.552,3412.73,3384.559,3409.479,23616510720,286213218304.0,0.007556,0.5227
2018-01-09,sh.000001,3406.111,3417.227,3403.586,3413.899,19148855040,238249975808.0,0.006126,0.1296
2018-01-10,sh.000001,3414.112,3430.213,3398.842,3421.834,20909499648,254515441664.0,0.006689,0.2324
2018-01-11,sh.000001,3415.585,3426.482,3405.639,3425.344,17381213184,218414133248.0,0.005561,0.1026
2018-01-12,sh.000001,3423.879,3435.423,3417.98,3428.94,17406340352,215961456640.0,0.005569,0.105
2018-01-15,sh.000001,3428.95,3442.5,3402.312,3410.488,23200928256,286362734592.0,0.007422,-0.5381
2018-01-16,sh.000001,3403.469,3437.582,3401.96,3436.594,21147546880,266578817024.0,0.006766,0.7655
2018-01-17,sh.000001,3438.576,3465.204,3430.511,3444.671,26104503040,316532678656.0,0.008351,0.235
2018-01-18,sh.000001,3449.881,3476.546,3448.788,3474.754,22003955456,267692642304.0,0.007039,0.8733
2018-01-19,sh.000001,3481.62,3498.434,3474.291,3487.864,24753673216,294189072384.0,0.007914,0.3773
2018-01-22,sh.000001,3476.993,3503.385,3475.673,3501.362,21748753408,261295714304.0,0.006954,0.387
2018-01-23,sh.000001,3504.343,3547.222,3504.343,3546.504,23870590464,282091888640.0,0.007627,1.2893
2018-01-24,sh.000001,3553.478,3569.489,3527.111,3559.465,25295449600,307629215744.0,0.00808,0.3655
2018-01-25,sh.000001,3555.167,3571.48,3528.034,3548.307,24341342208,287989534720.0,0.007776,-0.3135
2018-01-26,sh.000001,3535.493,3574.904,3534.195,3558.128,22269829632,258149515264.0,0.007114,0.2768
2018-01-29,sh.000001,3563.64,3587.032,3510.268,3523.0,23602696448,285417005056.0,0.007538,-0.9873
2018-01-30,sh.000001,3511.5,3523.051,3484.655,3488.009,18636997632,224681693184.0,0.00595,-0.9932
