年月,开盘,收盘,最高,最低,成交量,涨跌幅
2014-01,2112.13,2033.08,2113.11,1984.82,156358033152,-3.74
2014-02,2022.32,2056.3,2177.98,2014.38,205121833472,1.68
2014-03,2052.07,2033.31,2079.55,1974.38,231297668864,-0.91
2014-04,2031.0,2026.36,2146.67,1997.64,206744785664,-0.23
2014-05,2022.18,2039.21,2061.06,1991.06,151246051348,0.84
2014-06,2039.2,2048.33,2087.32,2010.53,159123148032,0.45
2014-07,2051.22,2201.56,2202.13,2033.0,298095463680,7.33
2014-08,2194.17,2217.2,2248.94,2180.6,334378011392,1.05
2014-09,2220.13,2363.87,2365.49,2217.68,419103106048,6.47
2014-10,2368.58,2420.18,2423.6,2279.84,369728692224,2.18
2014-11,2425.22,2682.84,2683.18,2401.75,569133459712,10.62
2014-12,2691.72,3234.68,3239.36,2665.69,1138352276224,20.17
