年月,开盘,收盘,最高,最低,成交量,涨跌幅
2017-01,3105.308,3159.166,3174.578,3044.291,275949067008,1.73
2017-02,3160.081,3241.733,3264.081,3132.033,339804179968,2.58
2017-03,3240.072,3222.514,3283.239,3193.156,411763442432,-0.54
2017-04,3235.66,3154.658,3295.187,3097.333,378945939712,-2.5
2017-05,3147.227,3117.177,3154.781,3016.53,322802120448,-0.95
2017-06,3108.421,3192.426,3193.461,3078.787,320465229312,2.7
2017-07,3191.998,3273.028,3276.946,3139.503,418762365440,2.54
2017-08,3274.368,3360.81,3376.648,3200.748,505986305280,2.64
2017-09,3365.991,3348.943,3391.643,3332.598,423260970240,-0.51
2017-10,3403.245,3393.341,3421.102,3357.276,270673954304,-0.29
2017-11,3393.967,3317.188,3450.494,3300.78,398240047104,-2.26
2017-12,3315.105,3307.172,3324.516,3254.177,294122686208,-0.24
