日期,代码,开盘,最高,最低,收盘,成交量,成交额,换手率,涨跌幅
2022-01-04,sh.000001,3649.151,3651.8924,3610.0922,3632.3289,40502776900,510251060624.8,1.040575,-0.204587
2022-01-05,sh.000001,3628.2634,3628.2634,3583.4668,3595.1761,42390202800,538963631684.2,1.088995,-1.022837
2022-01-06,sh.000001,3581.2184,3594.489,3559.8803,3586.0792,37154054300,474284290005.4,0.954461,-0.253031
2022-01-07,sh.000001,3588.9851,3607.2316,3577.0976,3579.5427,43630696100,502891435426.0,1.120828,-0.182274
2022-01-10,sh.000001,3572.7434,3593.5187,3555.1255,3593.5187,35622261000,443400848592.4,0.0,0.390441
2022-01-11,sh.000001,3589.9043,3602.1454,3562.7541,3567.4409,35976186300,441300566933.6,0.923829,-0.72569
2022-01-12,sh.000001,3578.1629,3599.4993,3572.0965,3597.4321,34313295600,435817892979.5,0.880593,0.840692
2022-01-13,sh.000001,3601.0265,3601.0725,3555.1576,3555.2585,36936836500,457005419279.0,0.947903,-1.172325
2022-01-14,sh.000001,3544.0652,3548.4204,3519.3222,3521.2559,37693702400,463197641865.6,0.967308,-0.956403
2022-01-17,sh.000001,3522.0851,3546.0853,3519.4257,3541.666,31288673300,438272981569.4,0.802864,0.579626
2022-01-18,sh.000001,3541.8899,3579.3126,3531.3295,3569.9144,37714643500,470832038609.3,0.967691,0.797602
2022-01-19,sh.000001,3567.6309,3578.7348,3541.6619,3558.1796,33323526900,420763364209.5,0.854765,-0.328714
2022-01-20,sh.000001,3556.2262,3576.2594,3540.5545,3555.0629,37950984600,459701843414.5,0.973418,-0.087593
2022-01-21,sh.000001,3546.7495,3547.0003,3514.8853,3522.5679,32653488000,417768922557.8,0.836699,-0.914049
2022-01-24,sh.000001,3508.2441,3531.6081,3500.1391,3524.105,28026834200,358009694270.3,0.717552,0.043636
2022-01-25,sh.000001,3509.2847,3519.8334,3433.0612,3433.0612,32735381300,383727737453.7,0.838071,-2.583459
2022-01-26,sh.000001,3442.6916,3462.1233,3417.7585,3455.6679,27512282800,338312361452.2,0.704352,0.6585
2022-01-27,sh.000001,3456.1021,3456.363,3392.0154,3394.2474,28060653400,346533957923.7,0.718099,-1.777384
2022-01-28,sh.000001,3407.5933,3417.0453,3356.5558,3361.4397,29085525700,353774612581.0,0.744312,-0.966568
2022-02-07,sh.000001,3407.7621,3434.0256,3407.7621,3429.5809,32048521100,357140422916.9,0.819752,2.027143
2022-02-08,sh.000001,3428.5424,3453.1863,3390.4578,3452.6288,36609386500,387969865736.4,0.936204,0.672033
2022-02-09,sh.000001,3450.818,3484.739,3444.0848,3479.9458,35024993600,393719989770.0,0.895523,0.791194
2022-02-10,sh.000001,3481.9101,3488.8552,3464.2169,3485.9071,35566626700,404969419399.4,0.909368,0.171304
2022-02-11,sh.000001,3472.2757,3500.1471,3459.3299,3462.9479,36135609000,426297923498.3,0.923915,-0.658629
2022-02-14,sh.000001,3451.8468,3457.2645,3415.4463,3428.8821,31527444800,361677855097.5,0.806062,-0.983723
2022-02-15,sh.000001,3428.0447,3447.4917,3421.6403,3446.0885,27555932200,341638876451.7,0.704237,0.501808
2022-02-16,sh.000001,3457.073,3475.0576,3453.8014,3465.8305,27499391300,325563412529.2,0.702792,0.572881
2022-02-17,sh.000001,3464.2091,3480.9719,3454.2767,3468.0354,29726268200,355783125696.6,0.759711,0.063618
2022-02-18,sh.000001,3451.6318,3490.7573,3447.0273,3490.7573,29514996300,327220393283.1,0.754294,0.655181
2022-02-21,sh.000001,3488.4057,3492.1994,3471.6858,3490.6123,30154174000,345398586146.4,0.770301,-0.004154
2022-02-22,sh.000001,3473.2874,3473.3931,3437.6717,3457.146,32627948400,387678927613.7,0.833422,-0.958752
2022-02-23,sh.000001,3458.5139,3490.7633,3458.1795,3489.1465,32560489500,415630339823.4,0.831435,0.925633
2022-02-24,sh.000001,3474.3692,3486.9773,3400.2136,3429.9564,48835490100,569794044219.7,1.24694,-1.696406
2022-02-25,sh.000001,3445.3361,3480.1756,3440.9339,3451.4061,37754255600,441659490622.0,0.963915,0.625364
2022-02-28,sh.000001,3450.3155,3462.3064,3425.5162,3462.3064,34583838800,413804526723.6,0.882956,0.315822
2022-03-01,sh.000001,3471.3646,3491.1317,3465.7154,3488.8347,32600166200,412562471160.4,0.831845,0.766203
2022-03-02,sh.000001,3478.2925,3486.6206,3466.9999,3484.1916,32936768400,380143816188.0,0.840394,-0.133085
2022-03-03,sh.000001,3495.928,3500.2872,3473.3376,3481.1125,41259428900,443621777161.5,1.052741,-0.088373
2022-03-04,sh.000001,3459.9845,3474.8816,3437.6964,3447.649,39352658100,430669055303.2,1.004068,-0.961288
