年月,开盘,收盘,最高,最低,成交量,涨跌幅
2022-01,3649.151,3361.4397,3651.8924,3356.5558,662572005600,-7.88
2022-02,3407.7621,3462.3064,3500.1471,3390.4578,537725366100,1.6
2022-03,3471.3646,3252.2029,3500.2872,3023.3045,870200597100,-6.31
2022-04,3234.668,3047.0624,3290.2561,2863.6497,747790770000,-5.8
2022-05,3044.8491,3186.4271,3188.6026,2957.3968,674727285100,4.65
2022-06,3179.6949,3398.6161,3417.0085,3160.0399,873938770800,6.88
2022-07,3400.2616,3253.2382,3424.8366,3226.2315,688087025900,-4.32
2022-08,3246.6161,3202.1378,3295.9976,3155.1866,705001014700,-1.37
2022-09,3196.5367,3024.3905,3278.1659,3021.9309,549015589800,-5.39
2022-10,3026.9354,2893.4829,3099.9182,2885.0894,413863340200,-4.41
2022-11,2899.4985,3151.3353,3158.5732,2896.7572,686907839800,8.69
2022-12,3187.9899,3089.2579,3226.0817,3031.5358,614033199800,-3.1
